Service ID,CustomerID,Quarter,Referred a Friend,Number of Referrals,tenure,Offer,PhoneService,Avg Monthly Long Distance Charges,MultipleLines,InternetService,Internet Type,Avg Monthly GB Download,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,Total Revenue,CLTV,gender,Age,Under 30,SeniorCitizen,Married,Dependents,Number of Dependents,Location ID,Country,State,City,Zip Code,Latitude,Longitude,Population
2411,6519,1,2,0.01603902658248947,0.6362278021447145,6,2,-0.8538188251300854,1,1,4,-1.0047956244259384,1,1,1,1,1,1,1,1,3,1,1,-1.4876969250676457,-0.593312409131096,-0.24831296685183657,-0.27330037394865414,-0.3308992198083766,-0.5687673351415712,-1.515077276490114,0,-1.642453825868742,2,1,2,2,2.629291934690341,6770,1,0,725,0.05651557596474153,-0.6477900230152516,0.9101699079036484,-0.7258783103275874
5495,5052,1,1,-0.6504085499394767,-0.7084980130918396,6,2,1.3420744572805687,1,2,1,0.4155552088644254,2,1,2,1,1,2,2,2,2,1,1,0.0029349840813665527,-0.5867591833527223,-0.24831296685183657,-0.27330037394865414,-0.11073620084919159,-0.49852652505930356,0.035253754464915736,1,-0.9260000911931914,1,1,1,2,2.629291934690341,1974,1,0,983,-1.1472743595391948,-0.826456713661197,0.5608263934721962,0.2498353364580041
489,6328,1,1,-0.6504085499394767,-1.1974892186324047,5,2,0.6681579163048935,1,2,0,2.3746598065063065,2,1,2,1,1,1,2,2,1,1,1,-0.29452667894836937,-0.9367941117975703,-0.24831296685183657,-0.27330037394865414,-0.7669020823987215,-0.96928026669146,0.20939126393969004,1,-1.5827493479791128,2,1,1,2,0.5518740419346677,3906,1,0,885,-0.20524814155423524,-0.8749812037944373,-0.020473887705113936,0.17168179388221388
1637,84,1,1,-0.6504085499394767,-0.8307458144769808,4,2,-0.5553793194722694,2,2,2,-0.7109299347796563,1,2,1,1,2,1,1,2,1,2,0,0.830509890164096,-0.5419015806340903,-0.24831296685183657,-0.27330037394865414,-0.6810055496517289,-0.6315596315726979,1.074161517302283,0,0.6263163339371681,1,1,1,1,-0.4868349044431689,885,1,0,541,0.9446809467235742,0.7801869470585466,-0.6509829007283764,1.1165217181620637
6427,5780,1,1,-0.6504085499394767,0.676977069273095,2,2,0.8746702857297161,2,2,2,0.023734289336049142,2,2,2,2,1,2,2,2,2,1,0,1.2708860952081187,1.2734964131082398,-0.24831296685183657,-0.27330037394865414,1.2259990601397595,1.3678357429549857,0.5263891574010511,0,1.8204058917297523,1,2,1,1,-0.4868349044431689,2135,1,0,1037,-0.26018620572488466,-0.7770050349314774,0.24845824467187605,1.170373433221849
2970,6865,1,1,-0.6504085499394767,-1.2789877528891656,6,2,-0.9321511031877767,1,1,4,-1.0047956244259384,1,1,1,1,1,1,1,1,1,1,1,-1.4710789550659844,-0.9972735456646487,-0.24831296685183657,-0.27330037394865414,-0.8747216026014922,-1.0489765704386482,0.045397687055679294,0,0.44720290026828047,1,1,1,1,-0.4868349044431689,911,1,0,855,-0.7347002697870627,-1.3530005960906133,1.1822599514273109,0.6033938309418271
530,2386,1,2,-0.31718476167849363,1.1252190076852797,2,2,-1.3030965191138688,2,2,2,-0.07422094054604492,1,2,1,2,2,2,2,2,1,2,0,1.2958130502106107,1.628187000271057,-0.24831296685183657,-0.27330037394865414,-0.68426564907942,1.0838986818054974,1.5526170044999639,1,0.6263163339371681,1,1,2,2,0.5518740419346677,2041,1,0,694,-0.022121260985403752,-0.46086410323773624,-0.3936630431191853,-0.6952409869221959
6324,4033,1,1,-0.6504085499394767,-1.1567399515040242,6,2,0.9517078153897596,1,1,4,-1.0047956244259384,1,1,1,1,1,1,1,1,1,1,1,-1.4760643460664828,-0.9721197497476588,-0.24831296685183657,-0.27330037394865414,-0.7068973538020876,-0.979489686761557,1.3387490923780323,0,-0.6871821796346745,1,1,1,1,-0.4868349044431689,3235,1,0,68,-1.4973698665090196,-0.9356053228334785,0.7563550792028272,2.399601475223041
2107,2857,1,2,-0.31718476167849363,1.6142102132258447,6,2,1.4016328835723673,2,2,1,1.5910179674495541,2,2,2,2,2,2,2,2,3,2,0,0.7573908221567865,1.8458335291528007,-0.24831296685183657,-0.27330037394865414,2.9090726375031015,2.3178667830778203,0.7952033710562852,1,0.7457252897164266,1,1,2,2,2.629291934690341,3700,1,0,623,1.006082312561359,0.5839279768435313,-0.5607872395103597,0.23617146845776008
4349,3344,1,2,-0.31718476167849363,-0.9529936158621221,5,2,-1.075220801127858,1,2,0,2.3746598065063065,2,2,2,2,1,1,1,2,1,1,2,0.00792037508186511,-0.7137196585337394,-0.24831296685183657,-0.27330037394865414,-0.8173273159379008,-0.8077410631823451,-0.3527516671317901,0,-1.5827493479791128,2,1,2,1,-0.4868349044431689,4553,1,0,1037,-0.26018620572488466,-0.7770050349314774,0.24845824467187605,1.170373433221849
